name,value
model_type,baseline
gnn_layer,graphconv
pooling_method,target
outpath,results
outname,A1_TestDisease
obs_window_start,1990
obs_window_end,2010
batchsize,250
num_workers,6
max_epochs,100
patience,8
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
loss,bce_weighted_single
gamma,1
alpha,1
beta,1
delta,1
dropout_rate,0.5
threshold_opt,precision_recall
ratio,0.5
local_test,True
explainability_mode,False
embeddings_mode,False
explainer_input,
device_specification,na
num_positive_samples,5000
device,cpu
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
include_longitudinal,False
num_features_static,2
num_features_longitudinal,0
threshold,0.49600000000000033
training_time,131.0638222694397
metric_auc_roc,0.6257440794563491
metric_auc_prc,0.16141350503833074
metric_f1,0.2433774834437086
metric_recall,0.5051546391752577
metric_mcc,0.11498357713146251
metric_ts,0.13854853911404336
metric_bss,-1.2730308859366666
true_negatives,4677
false_positives,2310
false_negatives,432
true_positives,441
